date,cid,ndelivered,ndrop,nclicked,nopened,,predict,,,,,,,,,,
2018-04-10,839a61f7-501b-474c-b99c-9d918ff53efd,109,9,0,93,,107,,,,,,,,,,
2018-04-10,bfef51f2-3c84-494c-92fe-dc94391690ef,146,11,2,115,,133,,,,,,,,,,
2018-04-10,d51e80e1-1635-4a98-89e6-50f85cd6e5fe,4,0,1,4,,4,,,,,,,,,,
2018-04-10,f1c89f12-5f0f-4e9f-8650-92ee980a31d7,4,0,1,3,,4,,,,,,,,,,
2018-04-10,fa7f9a63-1491-404f-91a1-32cdf9445e8c,4,0,0,3,,0,,,,,,,,,,
Sum,11,3232,1628,51,682,,4619,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018-04-11,01a0f1e8-7ec3-43a0-bfd4-d75d1c9cbeb5,59,8,1,19,,65,,,,,,,,,,
2018-04-11,39ac1b68-d159-43a9-a7f2-53dcd91b3548,50,12,1,23,,62,,,,,,,,,,
2018-04-11,be7099b7-4b53-4a19-930d-2a67e9dbabef,15,0,0,8,,3,,,,,,,,,,
2018-04-11,c0b4620f-b548-41b8-bf98-2f91cd2c457b,1,0,0,1,,1,,,,,,,,,,
Sum,4,125,20,2,51,,131,,,,,,,,,,
